,num,artists,name,album,genre,duration_ms,explicit,id,track_number,is_local,popularity,available_markets,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1109,1110,Ratatat,I Will Return,Magnifique,alternative dance,239776,False,1UD1u6jf7p4Egb60JGNcZ3,13,False,0,0,0.0212,0.289,0.607,0.851,0.0612,-7.341,0.0356,133.891,0.127
1110,1111,Fitz and The Tantrums,Spark,More Than Just a Dream (Deluxe Edition),indie poptimism,198986,False,1rVwXMW79ZuMIYyd3AsuPH,4,False,36,2,0.0521,0.75,0.936,0.00298,0.0732,-3.066,0.0652,133.147,0.896
1111,1112,Two Door Cinema Club,Nice to See You,False Alarm,alternative dance,373308,False,2hVJUXeqOfWco3jWzJxmpM,6,False,33,22,0.0338,0.702,0.723,0.00176,0.0923,-6.023,0.0393,110.016,0.846
1112,1113,UNSECRET,New Electricity,New Electricity,alt z,146388,False,6JfeXkIUYKfK8hUDMRcB3X,1,False,16,184,0.129,0.612,0.901,0.000187,0.223,-4.892,0.217,170.016,0.675
1113,1114,STRFKR,Rawnald Gregory Erickson the Second,Starfucker,chillwave,173693,False,4j4pPKE3xAblPIbhxScC1j,5,False,68,183,0.229,0.9,0.538,0.843,0.287,-7.879,0.0343,95.508,0.713
1114,1115,COIN,Crash My Car,Crash My Car,indie pop,188306,False,77VNrMsqlo9jHJwKvgs2Oe,1,False,35,183,0.00178,0.244,0.645,0.00574,0.301,-5.863,0.0456,183.577,0.529
1115,1116,MAGIC GIANT,Disaster Party,Disaster Party,folk-pop,181347,False,0tZQkiMamZC9PVKeIDtvTP,1,False,50,183,0.000435,0.666,0.864,0.0,0.0873,-5.714,0.0334,138.016,0.737
1116,1117,Judah & the Lion,Why Did You Run?,Why Did You Run?,banjo,233976,False,3IMh0b6bFDuFNB7F0E0A9h,1,False,0,0,0.0682,0.382,0.743,0.0,0.0901,-5.093,0.0548,205.66,0.469
1117,1118,Spoon,Do You,They Want My Soul,alternative dance,212653,False,08a6PhXyXeN3lv1DCKW9qY,4,False,55,2,0.0756,0.674,0.936,0.000748,0.192,-2.166,0.0271,128.083,0.948
1118,1119,xander.,Night Walk,Found Memories,pop,210000,False,55HuPFpIADZHYlUiYN5SZq,1,False,0,0,0.687,0.546,0.484,0.547,0.584,-14.608,0.446,158.626,0.352
1119,1120,Jazzinuf,Soul Mates,Soul Mates,chillhop,96343,False,7pFRhCj70NUNZG4xMDEQj8,1,False,66,184,0.407,0.517,0.509,0.311,0.251,-9.917,0.137,74.98,0.37
1120,1121,Cody G,Ukulele and Chill,Ukulele and Chill,pop,170666,False,0sRg0YVlQNN3klM0NtysR4,1,False,49,184,0.0163,0.726,0.846,0.727,0.381,-4.833,0.0903,90.02,0.689
1121,1122,Superorganism,Everybody Wants To Be Famous,Superorganism,art pop,184986,False,4BVFVaa1fDo20Ud1q5Gd2N,2,False,51,184,0.0235,0.665,0.842,0.0,0.0763,-4.06,0.255,86.993,0.629
1122,1123,KOYOTIE,New Best Thing,KOYOTIE,pop,154837,False,0H0NW2wOsEytPFSU0Z1gdg,4,False,0,0,0.234,0.88,0.847,0.0345,0.252,-5.674,0.0638,114.014,0.711
1123,1124,The Black Keys,Walk Across The Water,"""Let's Rock""",alternative rock,235841,False,5AEyKKiz6YPTLR7EDFLqMS,4,False,48,183,0.329,0.418,0.583,0.769,0.238,-7.296,0.0257,79.594,0.327
1124,1125,Grizfolk,Endless Summer,Endless Summer,indie poptimism,212600,False,24kirWnsEEyGgbl2NuhSVz,1,False,49,170,0.0562,0.498,0.727,0.0,0.609,-6.116,0.0308,79.994,0.441
1125,1126,FEiN,"800,000","800,000",la pop,206718,False,3gN35vZ76LFv9eiatDu1ky,1,False,15,184,0.0639,0.612,0.511,6.14e-05,0.217,-9.194,0.198,100.005,0.358
1126,1127,Tame Impala,Is It True,The Slow Rush,australian psych,239266,False,6RZmhpvukfyeSURhf4kZ0d,9,False,71,184,0.00307,0.731,0.664,0.35,0.133,-5.474,0.0302,118.018,0.661
1127,1128,Tokyo Machine,TURBO,TURBO,gaming edm,170859,False,64SHOYWVboJqNaCBdE4ywv,1,False,43,184,0.0138,0.739,0.939,0.0357,0.0911,-3.563,0.117,127.946,0.732
1128,1129,One Direction,Best Song Ever,Midnight Memories (Deluxe),boy band,200106,False,5T7ZFtCcOgkpjxcuaeZbw0,1,False,78,184,0.0227,0.652,0.877,0.0,0.0789,-2.986,0.0465,118.491,0.486
1129,1130,Alessia Cara,Ready,Ready,canadian contemporary r&b,178746,False,6l7lX8hJXVIUyPrTaabpqk,1,False,2,0,0.214,0.529,0.496,0.0,0.212,-6.668,0.151,74.619,0.588
1130,1131,courtship.,"Amy, Run For The Hills","Amy, Run For The Hills",hopebeat,182000,False,6vtPH0NDTyQoDxDCigFkAL,1,False,0,0,0.0586,0.588,0.847,0.0707,0.0977,-5.402,0.0249,90.077,0.68
1131,1132,Inner Wave,Rose,Rose,indie garage rock,226090,False,7xTpmsgbuPTHv6mHZyH18v,1,False,54,184,0.00411,0.63,0.656,0.00012,0.156,-6.846,0.0357,96.035,0.949
1132,1133,girl in red,i'll die anyway.,i'll die anyway.,bedroom pop,192612,False,7yyJF1BYBaCifNmO1RGhv7,1,False,69,184,0.000427,0.472,0.627,0.574,0.0798,-6.895,0.0289,157.909,0.172
1133,1134,Habibi,Angel Eyes,Angel Eyes,indie garage rock,283986,False,6LAtbL8VOpjHoGbkOwxsDe,1,False,23,183,0.5,0.47,0.688,0.705,0.199,-8.984,0.0282,133.709,0.725
1134,1135,Alfie Templeman,Don't Go Wasting Time,Don't Go Wasting Time,modern alternative pop,219278,False,6cDaffPUuAtFBRcXMGO5wT,1,False,29,183,7.93e-05,0.551,0.784,0.284,0.117,-5.143,0.0368,159.986,0.553
1135,1136,goosetaf,Mongo,Mongo,chillhop,133737,False,11GEgjJccq1S0ON926k5x4,1,False,17,184,0.722,0.638,0.545,0.828,0.0782,-10.003,0.162,80.07,0.301
1136,1137,Generationals,Gatekeeper,Reader As Detective,alternative dance,213453,False,3o4UVCheY3poBBDAD4wLFc,5,False,39,184,0.199,0.75,0.775,1.41e-05,0.058,-4.384,0.0536,104.924,0.726
